state_name,state_pop_in_hh,state_pct_college,state_pct_emp_tech,state_med_income,state_med_owner_cost,state_med_rent,state_code,state
Alabama,4925305,27.4,1.2,53913,1223,861,01,AL
Puerto Rico,,,1.6,22237,823,504,72,PR
Arizona,7130607,32.4,1.6,69056,1544,1253,04,AZ
Arkansas,2950099,25.3,1.2,52528,1147,820,05,AR
California,38422140,36.2,2.9,84907,2523,1750,06,CA
Colorado,5699351,44.4,2.5,82254,1962,1491,08,CO
Connecticut,3496460,42.1,1.9,83771,2083,1277,09,CT
Delaware,978979,35.6,1.2,71091,1585,1208,10,DE
District of Columbia,633047,63.0,3.3,90088,2639,1668,11,DC
Florida,21368669,33.2,1.6,63062,1616,1348,12,FL
Georgia,10546098,34.6,2.1,66559,1501,1153,13,GA
Hawaii,1399417,35.3,1.3,84857,2584,1774,15,HI
Idaho,1871961,30.7,1.4,66474,1425,1035,16,ID
Illinois,12382348,37.1,1.7,72205,1717,1106,17,IL
Indiana,6624430,28.9,1.3,62743,1195,905,18,IN
Iowa,3101420,30.5,1.4,65600,1328,847,19,IA
Kansas,2859735,35.4,1.6,64124,1446,904,20,KS
Kentucky,4384229,27.0,1.3,55573,1227,830,21,KY
Louisiana,4502299,26.4,1.2,52087,1349,924,22,LA
Maine,1337078,36.0,1.6,64767,1464,945,23,ME
Maryland,6027375,42.5,1.7,90203,2013,1473,24,MD
Massachusetts,6738001,46.6,1.9,89645,2323,1487,25,MA
Michigan,9839062,31.7,1.2,63498,1348,969,26,MI
Minnesota,5583442,38.9,1.3,77720,1667,1113,27,MN
Mississippi,2865632,24.8,1.1,48716,1200,831,28,MS
Missouri,6010070,31.7,1.5,61847,1316,882,29,MO
Montana,1077021,34.8,1.9,63249,1558,883,30,MT
Nebraska,1915553,34.4,1.3,66817,1491,912,31,NE
Nevada,3109171,27.6,1.6,66274,1625,1311,32,NV
New Hampshire,1349516,40.2,2.1,88465,2004,1263,33,NH
New Jersey,9084234,43.1,2.7,89296,2458,1457,34,NJ
New Mexico,2074979,30.1,1.2,53992,1354,906,35,NM
New York,19265908,39.9,2.8,74314,2199,1409,36,NY
North Carolina,10290252,34.9,1.5,61972,1387,1026,37,NC
North Dakota,751157,31.7,1.1,66519,1488,839,38,ND
Ohio,11478657,30.7,1.3,62262,1293,870,39,OH
Oklahoma,3884750,27.9,1.8,55826,1295,855,40,OK
Oregon,4160871,36.3,1.2,71562,1835,1282,41,OR
Pennsylvania,12553547,34.5,1.6,68957,1505,1036,42,PA
Rhode Island,1053814,36.5,1.4,74008,1932,1142,44,RI
South Carolina,5069111,31.5,1.5,59318,1289,976,45,SC
South Dakota,863807,31.7,1.4,66143,1415,830,46,SD
Tennessee,6824960,30.5,1.5,59695,1333,981,47,TN
Texas,28965771,33.1,1.6,66963,1765,1167,48,TX
Utah,3290918,36.8,1.8,79449,1671,1208,49,UT
Vermont,619838,44.4,2.0,72431,1664,1115,50,VT
Virginia,8407497,41.8,1.8,80963,1818,1331,51,VA
Washington,7595088,39.0,2.6,84247,2110,1484,53,WA
West Virginia,1738986,24.1,1.5,51248,1071,767,54,WV
Wisconsin,5757484,32.5,1.5,67125,1464,921,55,WI
Wyoming,565909,29.2,1.6,65204,1490,889,56,WY
Alaska,706833,32.8,1.8,77845,1926,1259,02,AK
