,companyName,company_starRating,company_offeredRole,company_roleLocation,company_salary_raw,companyHQ,company_founded,company_industry,company_revenue,company_size,company_type,company_sector,requested_url,search_state,company_salary,job_seniority,job_title
0,Change Healthcare,3.5,"Director, AI Engineering (Artificial Intelligence)",AK,Employer est.:$123K - $329K ,"Nashville, TN",2007.0,Information Technology Support Services,Unknown / Non-Applicable,10000+ Employees,Company - Public,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=00000186891f5c2fac43d51fea73e56b&src=GD_JOB_AD&t=SR&vt=w&cs=1_10dee5b5&cb=1677337779578&jobListingId=1008461126850&jrtk=3-0-1gq4hun2m2ea6001-1gq4hun3hgrik800-7f20c04b5a6cf0e0-,AK,226.0,senior,machine_learning_engineer
1,Ryder System,3.7,Senior Data Analyst,AK,Employer est.:$70K - $95K ,"Medley, FL",1933.0,Shipping & Trucking,$5 to $10 billion (USD),Unknown,Company - Public,Transportation & Logistics,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=00000186891f5c2fac43d51fea73e56b&src=GD_JOB_AD&t=SR&vt=w&cs=1_52c02382&cb=1677337779578&jobListingId=1008431138647&jrtk=3-0-1gq4hun2m2ea6001-1gq4hun3hgrik800-9901b8eedde17cd4-,AK,82.5,senior,data_analytics
2,"IntelliGenesis, LLC",4.7,Digital Network Exploitation Analyst Level 2,AK,$57K - $84K (Glassdoor est.),"Columbia, MD",2007.0,Aerospace & Defense,$5 to $25 million (USD),51 to 200 Employees,Company - Private,Aerospace & Defense,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=00000186892761b9be59be4d44d159a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_2ec1401a&cb=1677338305374&jobListingId=1007730944839&jrtk=3-0-1gq4ieoevjrq7801-1gq4ieofm2pv1000-fdb9068f6551ba6b-,AK,70.5,no prefix,other title
3,Change Healthcare,3.5,Senior Manager AI Engineering (Artificial Intelligence),AK,Employer est.:$105K - $280K ,"Nashville, TN",2007.0,Information Technology Support Services,Unknown / Non-Applicable,10000+ Employees,Company - Public,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1136043&s=58&guid=00000186892761b9be59be4d44d159a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_e536fb24&cb=1677338305373&jobListingId=1008461126825&jrtk=3-0-1gq4ieoevjrq7801-1gq4ieofm2pv1000-fac9a84ce882e524-,AK,192.5,senior,machine_learning_engineer
4,"IntelliGenesis, LLC",4.7,Digital Network Exploitation Analyst Level 1,AK,$56K - $84K (Glassdoor est.),"Columbia, MD",2007.0,Aerospace & Defense,$5 to $25 million (USD),51 to 200 Employees,Company - Private,Aerospace & Defense,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1136043&s=58&guid=00000186892761b9be59be4d44d159a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_c73359b0&cb=1677338305374&jobListingId=1007730944782&jrtk=3-0-1gq4ieoevjrq7801-1gq4ieofm2pv1000-520bacc6d8f28beb-,AK,70.0,no prefix,other title
5,Canonical - Jobs,3.4,Ubuntu Quality Engineering Manager,AK,$101K - $149K (Glassdoor est.),"London, United Kingdom",2004.0,Computer Hardware Development,$25 to $100 million (USD),501 to 1000 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1136043&s=58&guid=00000186892761b9be59be4d44d159a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_53cf3542&cb=1677338305374&jobListingId=1008268162580&jrtk=3-0-1gq4ieoevjrq7801-1gq4ieofm2pv1000-f26daf70efa6aa93-,AK,125.0,senior,other title
6,US Department of Energy - Agency Wide,4.3,Statistician,AK,Employer est.:$69K - $184K ,"Washington, DC",1977.0,National Agencies,Unknown / Non-Applicable,10000+ Employees,Government,Government & Public Administration,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=00000186892761b9be59be4d44d159a0&src=GD_JOB_AD&t=SR&vt=w&cs=1_776c3895&cb=1677338305373&jobListingId=1008409831829&jrtk=3-0-1gq4ieoevjrq7801-1gq4ieofm2pv1000-81f2951dda411ebb-,AK,126.5,no prefix,other title
7,McLeod Software,4.0,Data Scientist,AL,$83K - $118K (Glassdoor est.),"Birmingham, AL",1985.0,Software Development,$25 to $100 million (USD),501 to 1000 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_66042ae5&cb=1677338485235&jobListingId=1008457931083&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-03939f2e6da3a94c-,AL,100.5,no prefix,data_science
8,Regions,3.5,Data Visualization Designer/Engineer (REMOTE OPPORTUNITY),AL,$51K - $74K (Glassdoor est.),"Birmingham, AL",1971.0,Banking & Lending,$5 to $10 billion (USD),10000+ Employees,Company - Public,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_ad5cdb46&cb=1677338485234&jobListingId=1008462266266&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-0bc74b2047afdf22-,AL,62.5,no prefix,other title
9,managementsolutions,3.8,DATA SCIENCE CONSULTANT BIRMINGHAM,AL,$67K - $104K (Glassdoor est.),"Madrid, Spain",2002.0,Business Consulting,$100 to $500 million (USD),1001 to 5000 Employees,Company - Private,Management & Consulting,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=00000186892a2099b8ed851b11adcfdd&src=GD_JOB_AD&t=SR&vt=w&cs=1_4db29b06&cb=1677338485234&jobListingId=1005639393804&jrtk=3-0-1gq4ik863is0g801-1gq4ik86s24hr002-dd09a936fd1c85f7-,AL,85.5,no prefix,data_science
